gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.8194444444444444,0.8316261410690758,0.8305921052631579,0.8251884486640584,"[1.         0.94736842 0.84210526 0.63157895 0.84210526 0.75
 0.73684211 0.89473684]","[0.00746269 0.04       0.016      0.016      0.048      0.00806452
 0.032      0.04      ]","[0.         0.05263158 0.15789474 0.36842105 0.15789474 0.25
 0.26315789 0.10526316]","[0.90909091 0.7826087  0.88888889 0.85714286 0.72727273 0.9375
 0.77777778 0.77272727]","{'neutral': 0.0763888888888889, 'calm': 0.1597222222222222, 'happy': 0.125, 'sad': 0.09722222222222222, 'angry': 0.1527777777777778, 'fearful': 0.1111111111111111, 'disgust': 0.125, 'surprised': 0.1527777777777778}"
male,0.75,0.7574305290297937,0.7585526315789474,0.7424660107945618,"[0.9        0.8        0.94736842 0.47368421 0.89473684 0.52631579
 0.78947368 0.73684211]","[0.05970149 0.04032258 0.024      0.056      0.04       0.008
 0.         0.056     ]","[0.1        0.2        0.05263158 0.52631579 0.10526316 0.47368421
 0.21052632 0.26315789]","[0.52941176 0.76190476 0.85714286 0.5625     0.77272727 0.90909091
 1.         0.66666667]","{'neutral': 0.11805555555555555, 'calm': 0.14583333333333334, 'happy': 0.14583333333333334, 'sad': 0.1111111111111111, 'angry': 0.1527777777777778, 'fearful': 0.0763888888888889, 'disgust': 0.10416666666666667, 'surprised': 0.14583333333333334}"
