gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.75,0.7515486964016376,0.7582236842105263,0.7451417891571345,"[0.9        0.94736842 0.78947368 0.57894737 0.63157895 0.85
 0.78947368 0.57894737]","[0.04477612 0.024      0.016      0.032      0.032      0.07258065
 0.04       0.024     ]","[0.1        0.05263158 0.21052632 0.42105263 0.36842105 0.15
 0.21052632 0.42105263]","[0.6        0.85714286 0.88235294 0.73333333 0.75       0.65384615
 0.75       0.78571429]","{'neutral': 0.10416666666666667, 'calm': 0.14583333333333334, 'happy': 0.11805555555555555, 'sad': 0.10416666666666667, 'angry': 0.1111111111111111, 'fearful': 0.18055555555555555, 'disgust': 0.1388888888888889, 'surprised': 0.09722222222222222}"
male,0.7916666666666666,0.7919435956200662,0.7858552631578948,0.7838548815682962,"[0.7        0.85       0.84210526 0.73684211 0.94736842 0.57894737
 0.84210526 0.78947368]","[0.03731343 0.02419355 0.008      0.064      0.024      0.024
 0.         0.056     ]","[0.3        0.15       0.15789474 0.26315789 0.05263158 0.42105263
 0.15789474 0.21052632]","[0.58333333 0.85       0.94117647 0.63636364 0.85714286 0.78571429
 1.         0.68181818]","{'neutral': 0.08333333333333333, 'calm': 0.1388888888888889, 'happy': 0.11805555555555555, 'sad': 0.1527777777777778, 'angry': 0.14583333333333334, 'fearful': 0.09722222222222222, 'disgust': 0.1111111111111111, 'surprised': 0.1527777777777778}"
