gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.7152777777777778,0.7292591238024675,0.7213815789473684,0.7181858993250584,"[0.8        0.84210526 0.94736842 0.68421053 0.57894737 0.55
 0.78947368 0.57894737]","[0.02985075 0.024      0.024      0.112      0.048      0.05645161
 0.016      0.016     ]","[0.2        0.15789474 0.05263158 0.31578947 0.42105263 0.45
 0.21052632 0.42105263]","[0.66666667 0.84210526 0.85714286 0.48148148 0.64705882 0.61111111
 0.88235294 0.84615385]","{'neutral': 0.08333333333333333, 'calm': 0.13194444444444445, 'happy': 0.14583333333333334, 'sad': 0.1875, 'angry': 0.11805555555555555, 'fearful': 0.125, 'disgust': 0.11805555555555555, 'surprised': 0.09027777777777778}"
male,0.6597222222222222,0.6755698529411764,0.6730263157894737,0.6567099567099567,"[0.9        0.8        0.73684211 0.52631579 0.57894737 0.47368421
 0.89473684 0.47368421]","[0.05970149 0.07258065 0.016      0.056      0.         0.064
 0.064      0.056     ]","[0.1        0.2        0.26315789 0.47368421 0.42105263 0.52631579
 0.10526316 0.52631579]","[0.52941176 0.64       0.875      0.58823529 1.         0.52941176
 0.68       0.5625    ]","{'neutral': 0.11805555555555555, 'calm': 0.1736111111111111, 'happy': 0.1111111111111111, 'sad': 0.11805555555555555, 'angry': 0.0763888888888889, 'fearful': 0.11805555555555555, 'disgust': 0.1736111111111111, 'surprised': 0.1111111111111111}"
