gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.5972222222222222,0.6518523637525184,0.6098684210526316,0.6028686010945596,"[0.8        0.89473684 0.42105263 0.31578947 0.63157895 0.5
 0.52631579 0.78947368]","[0.00746269 0.104      0.032      0.016      0.056      0.03225806
 0.064      0.152     ]","[0.2        0.10526316 0.57894737 0.68421053 0.36842105 0.5
 0.47368421 0.21052632]","[0.88888889 0.56666667 0.66666667 0.75       0.63157895 0.71428571
 0.55555556 0.44117647]","{'neutral': 0.0625, 'calm': 0.20833333333333334, 'happy': 0.08333333333333333, 'sad': 0.05555555555555555, 'angry': 0.13194444444444445, 'fearful': 0.09722222222222222, 'disgust': 0.125, 'surprised': 0.2361111111111111}"
male,0.5,0.5504965622612681,0.4799342105263158,0.46482702675776677,"[0.2        0.85       0.31578947 0.10526316 0.73684211 0.36842105
 0.63157895 0.63157895]","[0.01492537 0.2016129  0.008      0.024      0.056      0.08
 0.024      0.168     ]","[0.8        0.15       0.68421053 0.89473684 0.26315789 0.63157895
 0.36842105 0.36842105]","[0.5        0.4047619  0.85714286 0.4        0.66666667 0.41176471
 0.8        0.36363636]","{'neutral': 0.027777777777777776, 'calm': 0.2916666666666667, 'happy': 0.04861111111111111, 'sad': 0.034722222222222224, 'angry': 0.14583333333333334, 'fearful': 0.11805555555555555, 'disgust': 0.10416666666666667, 'surprised': 0.22916666666666666}"
