gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.8263888888888888,0.8207117838040574,0.8305921052631579,0.822118301380315,"[0.9        1.         0.84210526 0.63157895 0.78947368 0.85
 0.78947368 0.84210526]","[0.02985075 0.032      0.024      0.04       0.016      0.01612903
 0.024      0.016     ]","[0.1        0.         0.15789474 0.36842105 0.21052632 0.15
 0.21052632 0.15789474]","[0.69230769 0.82608696 0.84210526 0.70588235 0.88235294 0.89473684
 0.83333333 0.88888889]","{'neutral': 0.09027777777777778, 'calm': 0.1597222222222222, 'happy': 0.13194444444444445, 'sad': 0.11805555555555555, 'angry': 0.11805555555555555, 'fearful': 0.13194444444444445, 'disgust': 0.125, 'surprised': 0.125}"
male,0.7708333333333334,0.777049512987013,0.7776315789473685,0.7641853305327997,"[0.9        0.9        0.89473684 0.63157895 0.89473684 0.57894737
 0.78947368 0.63157895]","[0.06716418 0.03225806 0.056      0.024      0.         0.024
 0.008      0.048     ]","[0.1        0.1        0.10526316 0.36842105 0.10526316 0.42105263
 0.21052632 0.36842105]","[0.5        0.81818182 0.70833333 0.8        1.         0.78571429
 0.9375     0.66666667]","{'neutral': 0.125, 'calm': 0.1527777777777778, 'happy': 0.16666666666666666, 'sad': 0.10416666666666667, 'angry': 0.11805555555555555, 'fearful': 0.09722222222222222, 'disgust': 0.1111111111111111, 'surprised': 0.125}"
