gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.7708333333333334,0.7757433383432424,0.7779605263157895,0.7711103186393884,"[0.9        0.89473684 0.68421053 0.63157895 0.68421053 0.85
 0.57894737 1.        ]","[0.01492537 0.032      0.032      0.048      0.008      0.0483871
 0.04       0.04      ]","[0.1        0.10526316 0.31578947 0.36842105 0.31578947 0.15
 0.42105263 0.        ]","[0.81818182 0.80952381 0.76470588 0.66666667 0.92857143 0.73913043
 0.6875     0.79166667]","{'neutral': 0.0763888888888889, 'calm': 0.14583333333333334, 'happy': 0.11805555555555555, 'sad': 0.125, 'angry': 0.09722222222222222, 'fearful': 0.1597222222222222, 'disgust': 0.1111111111111111, 'surprised': 0.16666666666666666}"
male,0.5694444444444444,0.5919281688139446,0.5644736842105263,0.5629971050466215,"[0.5        0.7        0.63157895 0.21052632 0.68421053 0.52631579
 0.63157895 0.63157895]","[0.04477612 0.12096774 0.08       0.048      0.024      0.024
 0.016      0.136     ]","[0.5        0.3        0.36842105 0.78947368 0.31578947 0.47368421
 0.36842105 0.36842105]","[0.45454545 0.48275862 0.54545455 0.4        0.8125     0.76923077
 0.85714286 0.4137931 ]","{'neutral': 0.0763888888888889, 'calm': 0.2013888888888889, 'happy': 0.1527777777777778, 'sad': 0.06944444444444445, 'angry': 0.1111111111111111, 'fearful': 0.09027777777777778, 'disgust': 0.09722222222222222, 'surprised': 0.2013888888888889}"
