gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.6597222222222222,0.6652470039018952,0.6615131578947369,0.6533817159940283,"[0.7        0.78947368 0.78947368 0.36842105 0.78947368 0.75
 0.57894737 0.52631579]","[0.04477612 0.072      0.024      0.072      0.064      0.06451613
 0.008      0.04      ]","[0.3        0.21052632 0.21052632 0.63157895 0.21052632 0.25
 0.42105263 0.47368421]","[0.53846154 0.625      0.83333333 0.4375     0.65217391 0.65217391
 0.91666667 0.66666667]","{'neutral': 0.09027777777777778, 'calm': 0.16666666666666666, 'happy': 0.125, 'sad': 0.1111111111111111, 'angry': 0.1597222222222222, 'fearful': 0.1597222222222222, 'disgust': 0.08333333333333333, 'surprised': 0.10416666666666667}"
male,0.7361111111111112,0.744919702330693,0.7453947368421053,0.7320478221604776,"[0.9        0.8        0.84210526 0.47368421 0.78947368 0.57894737
 0.84210526 0.73684211]","[0.04477612 0.03225806 0.024      0.008      0.056      0.072
 0.04       0.024     ]","[0.1        0.2        0.15789474 0.52631579 0.21052632 0.42105263
 0.15789474 0.26315789]","[0.6        0.8        0.84210526 0.9        0.68181818 0.55
 0.76190476 0.82352941]","{'neutral': 0.10416666666666667, 'calm': 0.1388888888888889, 'happy': 0.13194444444444445, 'sad': 0.06944444444444445, 'angry': 0.1527777777777778, 'fearful': 0.1388888888888889, 'disgust': 0.14583333333333334, 'surprised': 0.11805555555555555}"
