gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.6666666666666666,0.6684357168860887,0.6796052631578947,0.655480698026337,"[0.9        0.84210526 0.84210526 0.36842105 0.57894737 0.8
 0.52631579 0.57894737]","[0.07462687 0.056      0.04       0.032      0.024      0.07258065
 0.04       0.04      ]","[0.1        0.15789474 0.15789474 0.63157895 0.42105263 0.2
 0.47368421 0.42105263]","[0.47368421 0.69565217 0.76190476 0.63636364 0.78571429 0.64
 0.66666667 0.6875    ]","{'neutral': 0.13194444444444445, 'calm': 0.1597222222222222, 'happy': 0.14583333333333334, 'sad': 0.0763888888888889, 'angry': 0.09722222222222222, 'fearful': 0.1736111111111111, 'disgust': 0.10416666666666667, 'surprised': 0.1111111111111111}"
male,0.7291666666666666,0.7408157472855363,0.7259868421052631,0.7220508691477581,"[0.7        0.95       0.78947368 0.47368421 0.68421053 0.52631579
 0.89473684 0.78947368]","[0.02238806 0.03225806 0.016      0.032      0.024      0.024
 0.056      0.104     ]","[0.3        0.05       0.21052632 0.52631579 0.31578947 0.47368421
 0.10526316 0.21052632]","[0.7        0.82608696 0.88235294 0.69230769 0.8125     0.76923077
 0.70833333 0.53571429]","{'neutral': 0.06944444444444445, 'calm': 0.1597222222222222, 'happy': 0.11805555555555555, 'sad': 0.09027777777777778, 'angry': 0.1111111111111111, 'fearful': 0.09027777777777778, 'disgust': 0.16666666666666666, 'surprised': 0.19444444444444445}"
