gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.7152777777777778,0.7236125168690958,0.7144736842105263,0.705593318559903,"[0.7        0.94736842 0.84210526 0.73684211 0.73684211 0.7
 0.57894737 0.47368421]","[0.05223881 0.064      0.024      0.08       0.016      0.0483871
 0.016      0.024     ]","[0.3        0.05263158 0.15789474 0.26315789 0.26315789 0.3
 0.42105263 0.52631579]","[0.5        0.69230769 0.84210526 0.58333333 0.875      0.7
 0.84615385 0.75      ]","{'neutral': 0.09722222222222222, 'calm': 0.18055555555555555, 'happy': 0.13194444444444445, 'sad': 0.16666666666666666, 'angry': 0.1111111111111111, 'fearful': 0.1388888888888889, 'disgust': 0.09027777777777778, 'surprised': 0.08333333333333333}"
male,0.6527777777777778,0.6635314778745507,0.6549342105263158,0.6534801770606145,"[0.7        0.75       0.89473684 0.42105263 0.63157895 0.63157895
 0.73684211 0.47368421]","[0.04477612 0.01612903 0.024      0.104      0.016      0.096
 0.04       0.056     ]","[0.3        0.25       0.10526316 0.57894737 0.36842105 0.36842105
 0.26315789 0.52631579]","[0.53846154 0.88235294 0.85       0.38095238 0.85714286 0.5
 0.73684211 0.5625    ]","{'neutral': 0.09027777777777778, 'calm': 0.11805555555555555, 'happy': 0.1388888888888889, 'sad': 0.14583333333333334, 'angry': 0.09722222222222222, 'fearful': 0.16666666666666666, 'disgust': 0.13194444444444445, 'surprised': 0.1111111111111111}"
