gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.75,0.7484146320011258,0.7421052631578947,0.739768041115923,"[0.6        0.89473684 0.89473684 0.63157895 0.78947368 0.6
 0.78947368 0.73684211]","[0.05970149 0.04       0.016      0.072      0.016      0.02419355
 0.008      0.048     ]","[0.4        0.10526316 0.10526316 0.36842105 0.21052632 0.4
 0.21052632 0.26315789]","[0.42857143 0.77272727 0.89473684 0.57142857 0.88235294 0.8
 0.9375     0.7       ]","{'neutral': 0.09722222222222222, 'calm': 0.1527777777777778, 'happy': 0.13194444444444445, 'sad': 0.14583333333333334, 'angry': 0.11805555555555555, 'fearful': 0.10416666666666667, 'disgust': 0.1111111111111111, 'surprised': 0.1388888888888889}"
male,0.625,0.6318010380142733,0.6342105263157896,0.6190626503765764,"[0.8        0.8        0.73684211 0.42105263 0.63157895 0.31578947
 0.89473684 0.47368421]","[0.06716418 0.07258065 0.016      0.08       0.008      0.048
 0.04       0.096     ]","[0.2        0.2        0.26315789 0.57894737 0.36842105 0.68421053
 0.10526316 0.52631579]","[0.47058824 0.64       0.875      0.44444444 0.92307692 0.5
 0.77272727 0.42857143]","{'neutral': 0.11805555555555555, 'calm': 0.1736111111111111, 'happy': 0.1111111111111111, 'sad': 0.125, 'angry': 0.09027777777777778, 'fearful': 0.08333333333333333, 'disgust': 0.1527777777777778, 'surprised': 0.14583333333333334}"
