gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.8402777777777778,0.8564288720538721,0.8490131578947369,0.839816551466785,"[1.         0.89473684 0.84210526 0.73684211 0.73684211 0.95
 0.89473684 0.73684211]","[0.03731343 0.008      0.016      0.016      0.         0.06451613
 0.04       0.        ]","[0.         0.10526316 0.15789474 0.26315789 0.26315789 0.05
 0.10526316 0.26315789]","[0.66666667 0.94444444 0.88888889 0.875      1.         0.7037037
 0.77272727 1.        ]","{'neutral': 0.10416666666666667, 'calm': 0.125, 'happy': 0.125, 'sad': 0.1111111111111111, 'angry': 0.09722222222222222, 'fearful': 0.1875, 'disgust': 0.1527777777777778, 'surprised': 0.09722222222222222}"
male,0.7708333333333334,0.7743383066769458,0.7779605263157895,0.7609577900546625,"[0.9        0.85       0.94736842 0.47368421 0.89473684 0.68421053
 0.78947368 0.68421053]","[0.07462687 0.04032258 0.04       0.024      0.008      0.016
 0.016      0.04      ]","[0.1        0.15       0.05263158 0.52631579 0.10526316 0.31578947
 0.21052632 0.31578947]","[0.47368421 0.77272727 0.7826087  0.75       0.94444444 0.86666667
 0.88235294 0.72222222]","{'neutral': 0.13194444444444445, 'calm': 0.1527777777777778, 'happy': 0.1597222222222222, 'sad': 0.08333333333333333, 'angry': 0.125, 'fearful': 0.10416666666666667, 'disgust': 0.11805555555555555, 'surprised': 0.125}"
