gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.7777777777777778,0.7818337789661319,0.7901315789473684,0.7773454526503307,"[1.         0.94736842 0.84210526 0.42105263 0.78947368 0.9
 0.73684211 0.68421053]","[0.01492537 0.032      0.008      0.024      0.04       0.05645161
 0.048      0.032     ]","[0.         0.05263158 0.15789474 0.57894737 0.21052632 0.1
 0.26315789 0.31578947]","[0.83333333 0.81818182 0.94117647 0.72727273 0.75       0.72
 0.7        0.76470588]","{'neutral': 0.08333333333333333, 'calm': 0.1527777777777778, 'happy': 0.11805555555555555, 'sad': 0.0763888888888889, 'angry': 0.1388888888888889, 'fearful': 0.1736111111111111, 'disgust': 0.1388888888888889, 'surprised': 0.11805555555555555}"
male,0.7847222222222222,0.7833333333333333,0.7851973684210526,0.7776134976134976,"[0.8        0.85       0.94736842 0.57894737 0.89473684 0.68421053
 0.73684211 0.78947368]","[0.05223881 0.05645161 0.016      0.04       0.         0.024
 0.016      0.04      ]","[0.2        0.15       0.05263158 0.42105263 0.10526316 0.31578947
 0.26315789 0.21052632]","[0.53333333 0.70833333 0.9        0.6875     1.         0.8125
 0.875      0.75      ]","{'neutral': 0.10416666666666667, 'calm': 0.16666666666666666, 'happy': 0.1388888888888889, 'sad': 0.1111111111111111, 'angry': 0.11805555555555555, 'fearful': 0.1111111111111111, 'disgust': 0.1111111111111111, 'surprised': 0.1388888888888889}"
