gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.5902777777777778,0.6372524154589372,0.5891447368421053,0.5909048649798176,"[0.6        0.89473684 0.42105263 0.42105263 0.57894737 0.85
 0.57894737 0.36842105]","[0.01492537 0.048      0.032      0.136      0.032      0.13709677
 0.056      0.016     ]","[0.4        0.10526316 0.57894737 0.57894737 0.42105263 0.15
 0.42105263 0.63157895]","[0.75       0.73913043 0.66666667 0.32       0.73333333 0.5
 0.61111111 0.77777778]","{'neutral': 0.05555555555555555, 'calm': 0.1597222222222222, 'happy': 0.08333333333333333, 'sad': 0.1736111111111111, 'angry': 0.10416666666666667, 'fearful': 0.2361111111111111, 'disgust': 0.125, 'surprised': 0.0625}"
male,0.5486111111111112,0.6144565584854631,0.5457236842105263,0.5504195747945748,"[0.5        0.55       0.36842105 0.52631579 0.78947368 0.68421053
 0.63157895 0.31578947]","[0.03731343 0.03225806 0.104      0.152      0.024      0.128
 0.04       0.        ]","[0.5        0.45       0.63157895 0.47368421 0.21052632 0.31578947
 0.36842105 0.68421053]","[0.5        0.73333333 0.35       0.34482759 0.83333333 0.44827586
 0.70588235 1.        ]","{'neutral': 0.06944444444444445, 'calm': 0.10416666666666667, 'happy': 0.1388888888888889, 'sad': 0.2013888888888889, 'angry': 0.125, 'fearful': 0.2013888888888889, 'disgust': 0.11805555555555555, 'surprised': 0.041666666666666664}"
