gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.7222222222222222,0.7250744047619048,0.7292763157894737,0.7167240584028375,"[0.8        0.89473684 0.94736842 0.78947368 0.57894737 0.35
 0.68421053 0.78947368]","[0.02985075 0.032      0.016      0.072      0.04       0.04032258
 0.008      0.08      ]","[0.2        0.10526316 0.05263158 0.21052632 0.42105263 0.65
 0.31578947 0.21052632]","[0.66666667 0.80952381 0.9        0.625      0.6875     0.58333333
 0.92857143 0.6       ]","{'neutral': 0.08333333333333333, 'calm': 0.14583333333333334, 'happy': 0.1388888888888889, 'sad': 0.16666666666666666, 'angry': 0.1111111111111111, 'fearful': 0.08333333333333333, 'disgust': 0.09722222222222222, 'surprised': 0.1736111111111111}"
male,0.7222222222222222,0.7227274644215433,0.7207236842105262,0.7163633508927957,"[0.7        0.75       0.84210526 0.78947368 0.57894737 0.57894737
 0.84210526 0.68421053]","[0.03731343 0.04032258 0.024      0.056      0.016      0.04
 0.032      0.072     ]","[0.3        0.25       0.15789474 0.21052632 0.42105263 0.42105263
 0.15789474 0.31578947]","[0.58333333 0.75       0.84210526 0.68181818 0.84615385 0.6875
 0.8        0.59090909]","{'neutral': 0.08333333333333333, 'calm': 0.1388888888888889, 'happy': 0.13194444444444445, 'sad': 0.1527777777777778, 'angry': 0.09027777777777778, 'fearful': 0.1111111111111111, 'disgust': 0.1388888888888889, 'surprised': 0.1527777777777778}"
