gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
Female,0.7279202279202279,0.7268888107437131,0.727813471666984,0.7251720280212309,[0.78333333 0.625      0.65833333 0.925      0.72815534 0.64705882],[0.04295533 0.03780069 0.06185567 0.04123711 0.06510851 0.07718696],[0.21666667 0.375      0.34166667 0.075      0.27184466 0.35294118],[0.78991597 0.77319588 0.68695652 0.82222222 0.65789474 0.63114754],"{'ANG': 0.16951566951566951, 'DIS': 0.13817663817663817, 'FEA': 0.16381766381766383, 'HAP': 0.19230769230769232, 'NEU': 0.1623931623931624, 'SAD': 0.1737891737891738}"
Male,0.6318471337579618,0.6310483733136237,0.6329439757733074,0.6292060743537368,[0.7761194  0.55223881 0.5        0.76865672 0.67826087 0.52238806],[0.06298003 0.06451613 0.06912442 0.04761905 0.1        0.09677419],[0.2238806  0.44776119 0.5        0.23134328 0.32173913 0.47761194],[0.71724138 0.63793103 0.59821429 0.76865672 0.53793103 0.52631579],"{'ANG': 0.18471337579617833, 'DIS': 0.14777070063694267, 'FEA': 0.14267515923566879, 'HAP': 0.17070063694267515, 'NEU': 0.18471337579617833, 'SAD': 0.16942675159235668}"
