gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
Female,0.7378917378917379,0.7404774425539838,0.7369955263658862,0.7377852536054575,[0.86666667 0.75833333 0.60833333 0.89166667 0.70873786 0.58823529],[0.05670103 0.0395189  0.08247423 0.0137457  0.03672788 0.08576329],[0.13333333 0.24166667 0.39166667 0.10833333 0.29126214 0.41176471],[0.75912409 0.79824561 0.60330579 0.93043478 0.76842105 0.58333333],"{'ANG': 0.19515669515669515, 'DIS': 0.1623931623931624, 'FEA': 0.17236467236467237, 'HAP': 0.16381766381766383, 'NEU': 0.13532763532763534, 'SAD': 0.17094017094017094}"
Male,0.6331210191082802,0.6282828355882683,0.6315163313865456,0.6284826468917255,[0.79850746 0.58208955 0.51492537 0.79104478 0.56521739 0.53731343],[0.07987711 0.06912442 0.07987711 0.05222734 0.06865672 0.0906298 ],[0.20149254 0.41791045 0.48507463 0.20895522 0.43478261 0.46268657],[0.67295597 0.63414634 0.57024793 0.75714286 0.58558559 0.54961832],"{'ANG': 0.20254777070063695, 'DIS': 0.15668789808917197, 'FEA': 0.15414012738853503, 'HAP': 0.17834394904458598, 'NEU': 0.14140127388535031, 'SAD': 0.16687898089171974}"
