gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
Female,0.5441595441595442,0.5425817468052928,0.5466145195942455,0.5358540319938467,[0.79166667 0.31666667 0.53333333 0.48333333 0.65048544 0.50420168],[0.10137457 0.0532646  0.1185567  0.0790378  0.0984975  0.09605489],[0.20833333 0.68333333 0.46666667 0.51666667 0.34951456 0.49579832],[0.61688312 0.55072464 0.48120301 0.55769231 0.53174603 0.51724138],"{'ANG': 0.21937321937321938, 'DIS': 0.09829059829059829, 'FEA': 0.18945868945868946, 'HAP': 0.14814814814814814, 'NEU': 0.1794871794871795, 'SAD': 0.16524216524216523}"
Male,0.4713375796178344,0.46720470013081367,0.46882976422236644,0.4607124639780375,[0.67164179 0.23134328 0.62686567 0.47014925 0.36521739 0.44776119],[0.0906298  0.08602151 0.1812596  0.0952381  0.07014925 0.11213518],[0.32835821 0.76865672 0.37313433 0.52985075 0.63478261 0.55223881],[0.60402685 0.35632184 0.41584158 0.504      0.47191011 0.45112782],"{'ANG': 0.18980891719745224, 'DIS': 0.11082802547770701, 'FEA': 0.2573248407643312, 'HAP': 0.1592356687898089, 'NEU': 0.11337579617834395, 'SAD': 0.16942675159235668}"
